Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39449,,3.366731300728888,,1.5662199093453912,,3.03746746593619,,2.5191221771052046,,5.192563912763445,,24.866793170731707,,20.019999999999996,,183.98781640754964
2,8,39456,,3.366731300728888,,1.5662199093453912,,3.03746746593619,,2.5191221771052046,,5.192563912763445,,24.866793170731707,,20.019999999999996,,183.98781640754964
3,15,39463,,3.366731300728888,,1.5662199093453912,,3.03746746593619,,2.5191221771052046,,5.192563912763445,,44.76032536585365,,20.019999999999996,,184.78355769535455
4,22,39470,,3.1364419941044877,,3.3580080388020823,,9.728437355789929,,7.465158344430995,,15.38762675929491,,59.680108292682924,,20.019999999999996,,385.3076379231306
5,29,39477,BaZam,3.1364419941044877,,3.3580080388020823,,9.728437355789929,,7.465158344430995,,15.38762675929491,,59.680108292682924,,20.019999999999996,1.001,765.6876379231305
6,36,39484,,13.58168446386229,,6.268281672430552,,11.956385155993054,,9.953544459241327,,20.51683567905988,,84.54738975609757,,20.019999999999996,,563.3992983681825
7,43,39491,,13.58168446386229,,6.268281672430552,,11.956385155993054,,9.953544459241327,,20.51683567905988,,84.54738975609757,,20.019999999999996,,563.3992983681825
8,50,39498,,13.58168446386229,,6.268281672430552,,11.956385155993054,,9.953544459241327,,20.51683567905988,,114.387443902439,,20.019999999999996,,564.5929005340361
9,57,39505,TricoZam,17.347105210928127,,7.38761768536458,,19.27015561014525,,15.054735994602506,,31.031713964578067,,114.387443902439,,20.019999999999996,1.001,1158.6704781181302
10,64,39512,,4.289634712940531,,7.38761768536458,,25.667375327923033,,19.16057308403956,,39.49490868219028,,144.2279863414634,,20.019999999999996,,866.0873963146687
11,71,39519,,3.1197343366840222,,5.37281286208333,,18.667182056671297,,13.93496224293786,,28.72356995068384,,144.2279863414634,,20.019999999999996,,646.7431389889387
12,78,39526,,3.1197343366840222,,5.37281286208333,,18.667182056671297,,13.93496224293786,,28.72356995068384,,144.2279863414634,,20.019999999999996,,646.7431389889387
13,85,39533,,3.1197343366840222,,5.37281286208333,,18.667182056671297,,13.93496224293786,,28.72356995068384,,174.06804048780486,,20.019999999999996,,647.9367411547923
